엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
베트남,국가,시장규모,수산가공식품,품목,시장규모:약3.3조원;시기:2023년
한국,국가,생산규모,김,품목,2022년생산량:55422톤;연평균성장률:-0.8%
한국,기업,생산규모,김,품목,2022년생산량:55422톤
한국,기업,수출,김,품목,2022년수출액:262억 원
한국,기업,수출,조미김,품목,2022년수출액:262억 원
한국,기업,수출,김,품목,2023년수출액:390억 원
한국,기업,수출,조미김,품목,2023년수출액:390억 원
한국,기업,수출,김,품목,2022년수출중량:969톤
한국,기업,수출,조미김,품목,2022년수출중량:969톤
베트남,국가,수입액,HS CODE 2008.99,품목,2022년수입액:605억 원
베트남,국가,수입액,HS CODE 2008.99,품목,2018년수입액:73억 원
베트남,국가,수입액,HS CODE 2008.99,품목,2022년수입액:605억 원
베트남,국가,수입액,HS CODE 2008.99,품목,2022년한국수입액:308억 원
베트남,국가,수입액,HS CODE 2008.99,품목,2018년수입액:16억 원
베트남,국가,수입액,HS CODE 2008.99,품목,2022년한국수입액:308억 원
베트남,국가,수입단가,HS CODE 2008.99,품목,2022년단가:391만 원/톤
베트남,국가,수입단가,HS CODE 2008.99,품목,2018년단가:316만 원/톤
베트남,국가,수입단가,HS CODE 2008.99,품목,2022년단가:391만 원/톤
한국,국가,수출,조미김,품목,2022년수출중량:969톤;수출액:262억 원
한국,국가,수출,조미김,품목,2023년수출중량:1,420톤;수출액:390억 원
한국,기업,수출,조미김,품목,2023년수출중량:1,420톤;수출액:390억 원
베트남,국가,수입,김,품목,2022년수입액:308억 원
베트남,국가,수입,김,품목,2022년수입량:7884톤
베트남,국가,수입,마른김,품목,2022년수입액:196억 원
베트남,국가,수입,마른김,품목,2022년수입량:1134톤
베트남,국가,수입,조미김,품목,2022년수입액:605억 원
베트남,국가,수입,조미김,품목,2022년수입량:15494톤
베트남,국가,수입,조미김,품목,2022년단가:391만 원/톤
한국,국가,수출,조미김,품목,2022년수출중량:969톤;수출액:262억 원
한국,국가,수출,조미김,품목,2023년수출중량:1,420톤;수출액:390억 원
한국,기업,수출,조미김,품목,2023년수출중량:1,420톤;수출액:390억 원
베트남,국가,시장유통,김,품목,88.1%전통식료품점;10.9%하이퍼마켓;1.0%편의점
베트남,기업,유통채널,빅씨 베트남,기업,유통업체,홈페이지:www.bigc.vn,위치:하노이,규모:매출2486억8800만바트(약9조원)
베트남,기업,유통채널,박화싸잉,기업,슈퍼마켓체인,홈페이지:www.bachhoaxanh.com,위치:베트남전역,규모:매출31조6000억동(약1조7096억 원)
베트남,기업,유통채널,쇼피 베트남,기업,온라인쇼핑몰,홈페이지:www.shopee.vn,규모:매출91조동(약4조9231억 원)
베트남,기업,유통채널,티키,기업,온라인쇼핑몰,홈페이지:www.tiki.vn,규모:매출10억달러(약1조3765억 원)
베트남,기업,유통채널,케이마켓,기업,한인마트,홈페이지:kmarketvina.com,규모:140개 매장
베트남,기업,유통채널,지에스25 베트남,기업,편의점,홈페이지:www.gs25.com.vn,규모:245개 매장,매출액:1조3000억동(약703억 원)
베트남,기업,유통채널,윈마트 플러스,기업,편의점,홈페이지:winmart.vn,규모:3268개 매장,매출액:32억달러(약4조4048억 원)
베트남,기업,유통채널,오케이마트,기업,한인마트,홈페이지:okmart.vn,규모:7개 매장
베트남,기업,유통채널,호치민,다낭 등,기업,지역별 매장,규모:7개
베트남,기업,유통채널,GS25 베트남,기업,편의점,홈페이지:www.gs25.com.vn,규모:245개 매장,매출액:1조3000억동(약703억 원)
베트남,기업,유통채널,케이마켓,기업,한인마트,홈페이지:kmarketvina.com,규모:140개 매장
베트남,기업,유통채널,오케이마트,기업,한인마트,홈페이지:okmart.vn,규모:7개 매장
베트남,기업,유통채널,윈마트 플러스,기업,편의점,홈페이지:winmart.vn,규모:3268개 매장
베트남,기업,유통채널,지에스25 베트남,기업,편의점,홈페이지:www.gs25.com.vn,규모:245개 매장
베트남,기업,유통채널,쇼피 베트남,기업,온라인쇼핑몰,홈페이지:www.shopee.vn,규모:매출91조동(약4조9231억 원)
베트남,기업,유통채널,티키,기업,온라인쇼핑몰,홈페이지:www.tiki.vn,규모:매출10억달러(약1조3765억 원)
베트남,기업,유통채널,케이마켓,기업,한인마트,홈페이지:kmarketvina.com,규모:140개 매장
베트남,기업,유통채널,지에스25 베트남,기업,편의점,홈페이지:www.gs25.com.vn,규모:245개 매장
베트남,기업,유통채널,윈마트 플러스,기업,편의점,홈페이지:winmart.vn,규모:3268개 매장
베트남,기업,유통채널,오케이마트,기업,한인마트,홈페이지:okmart.vn,규모:7개 매장
베트남,기업,유통채널,호치민,다낭 등,기업,지역별 매장,규모:7개
베트남,기업,유통채널,GS25 베트남,기업,편의점,홈페이지:www.gs25.com.vn,규모:245개 매장
베트남,기업,유통채널,케이마켓,기업,한인마트,홈페이지:kmarketvina.com,규모:140개 매장
베트남,기업,유통채널,오케이마트,기업,한인마트,홈페이지:okmart.vn,규모:7개 매장
베트남,기업,유통채널,윈마트 플러스,기업,편의점,홈페이지:winmart.vn,규모:3268개 매장
베트남,기업,유통채널,지에스25 베트남,기업,편의점,홈페이지:www.gs25.com.vn,규모:245개 매장
