엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
튀르키예,국가,수출국,한국,국가,국가:튀르키예;시기:2024년
한국,기업,수출품목,밀가루,품목,수출액:1474060;비중:4.9;연평균성장률:8.8
한국,기업,수출품목,해바라기씨유(기타),품목,수출액:1051270;비중:3.5;연평균성장률:25.0
한국,기업,수출품목,헤이즐넛(탈각),품목,수출액:995330;비중:3.3;연평균성장률:-5.5
한국,기업,수출품목,견과류·씨(기타),품목,수출액:902883;비중:3.0;연평균성장률:5.0
한국,기업,수출품목,설탕과자(기타),품목,수출액:838545;비중:2.8;연평균성장률:17.7
한국,기업,수출품목,조리하지 않은 기타 파스타,품목,수출액:813277;비중:2.7;연평균성장률:9.0
한국,기업,수출품목,옥수수(기타),품목,수출액:694849;비중:2.3;연평균성장률:48.0
한국,기업,수출품목,조제식료품,품목,수출액:658679;비중:2.2;연평균성장률:13.4
한국,기업,수출품목,듀럼종 밀(기타),품목,수출액:606872;비중:2.0;연평균성장률:175.6
한국,기업,수출품목,빵 기타,품목,수출액:579899;비중:1.9;연평균성장률:10.2
튀르키예,국가,수입국,러시아,국가,수입액:5233894;비중:20.2;연평균성장률:-4.8
튀르키예,국가,수입국,우크라이나,국가,수입액:3086261;비중:11.9;연평균성장률:-10.1
튀르키예,국가,수입국,브라질,국가,수입액:2483012;비중:9.6;연평균성장률:-12.3
튀르키예,국가,수입국,미국,국가,수입액:1784065;비중:6.9;연평균성장률:-15.7
튀르키예,국가,수입국,말레이시아,국가,수입액:995197;비중:3.8;연평균성장률:-11.0
튀르키예,국가,수입국,독일,국가,수입액:699715;비중:2.7;연평균성장률:32.8
튀르키예,국가,수입국,아르헨티나,국가,수입액:694150;비중:2.7;연평균성장률:-19.0
튀르키예,국가,수입국,네덜란드,국가,수입액:569779;비중:2.2;연평균성장률:13.6
튀르키예,국가,수입국,프랑스,국가,수입액:520840;비중:2.0;연평균성장률:23.7
튀르키예,국가,수입국,캐나다,국가,수입액:473993;비중:1.8;연평균성장률:22.4
튀르키예,국가,수입국,한국,국가,수입액:20304;비중:0.1;연평균성장률:40.3
튀르키예,국가,수출액,전체,금액,수출액:30265685;비중:100.0;연평균성장률:12.1
튀르키예,국가,수출품목,밀가루,품목,수출액:1474060;비중:4.9;연평균성장률:8.8
튀르키예,국가,수출품목,해바라기씨유(기타),품목,수출액:1051270;비중:3.5;연평균성장률:25.0
튀르키예,국가,수출품목,헤이즐넛(탈각),품목,수출액:995330;비중:3.3;연평균성장률:-5.5
튀르키예,국가,수출품목,견과류·씨(기타),품목,수출액:902883;비중:3.0;연평균성장률:5.0
튀르키예,국가,수출품목,설탕과자(기타),품목,수출액:838545;비중:2.8;연평균성장률:17.7
튀르키예,국가,수출품목,조리하지 않은 기타 파스타,품목,수출액:813277;비중:2.7;연평균성장률:9.0
튀르키예,국가,수출품목,옥수수(기타),품목,수출액:694849;비중:2.3;연평균성장률:48.0
튀르키예,국가,수출품목,조제식료품,품목,수출액:658679;비중:2.2;연평균성장률:13.4
튀르키예,국가,수출품목,듀럼종 밀(기타),품목,수출액:606872;비중:2.0;연평균성장률:175.6
튀르키예,국가,수출품목,빵 기타,품목,수출액:579899;비중:1.9;연평균성장률:10.2
튀르키예,국가,수입액,전체,금액,수입액:25940604;비중:100.0;연평균성장률:-2.5
튀르키예,국가,수입품목,밀(기타),품목,수입액:3403229;비중:13.1;연평균성장률:16.1
튀르키예,국가,수입품목,해바라기씨유(조유),품목,수입액:1674405;비중:6.5;연평균성장률:-23.8
튀르키예,국가,수입품목,대두(기타),품목,수입액:1646225;비중:6.3;연평균성장률:12.4
튀르키예,국가,수입품목,대두유 추출 유박,품목,수입액:806000;비중:3.1;연평균성장률:16.7
튀르키예,국가,수입품목,팜유(기타),품목,수입액:797249;비중:3.1;연평균성장률:17.7
튀르키예,국가,수입품목,렌즈콩,품목,수입액:613467;비중:2.4;연평균성장률:40.6
튀르키예,국가,수입품목,옥수수(기타),품목,수입액:558150;비중:2.2;연평균성장률:-9.3
튀르키예,국가,수입품목,조제식료품,품목,수입액:552995;비중:2.1;연평균성장률:6.9
튀르키예,국가,수입품목,참깨,품목,수입액:486095;비중:1.9;연평균성장률:14.0
튀르키예,국가,수입품목,해바라기씨,품목,수입액:480537;비중:1.9;연평균성장률:-4.1
튀르키예,국가,수출액,한국,국가,수출액:1951104;비중:0.4;연평균성장률:11.7
튀르키예,국가,수출액,이라크,국가,수출액:4466923;비중:14.8;연평균성장률:9.8
튀르키예,국가,수출액,독일,국가,수출액:1976675;비중:6.5;연평균성장률:8.2
튀르키예,국가,수출액,미국,국가,수출액:1820865;비중:6.0;연평균성장률:18.3
튀르키예,국가,수출액,러시아,국가,수출액:1620601;비중:5.4;연평균성장률:13.2
튀르키예,국가,수출액,이탈리아,국가,수출액:1157917;비중:3.8;연평균성장률:6.8
튀르키예,국가,수출액,시리아,국가,수출액:912052;비중:3.0;연평균성장률:3.9
튀르키예,국가,수출액,영국,국가,수출액:745574;비중:2.5;연평균성장률:7.5
튀르키예,국가,수출액,이란,국가,수출액:720626;비중:2.4;연평균성장률:14.7
튀르키예,국가,수출액,네덜란드,국가,수출액:661283;비중:2.2;연평균성장률:7.1
튀르키예,국가,수출액,스페인,국가,수출액:610958;비중:2.0;연평균성장률:33.3
튀르키예,국가,수출액,한국,국가,수출액:109514;비중:0.4;연평균성장률:11.7
튀르키예,국가,수입액,러시아,국가,수입액:5233894;비중:20.2;연평균성장률:-4.8
튀르키예,국가,수입액,우크라이나,국가,수입액:3086261;비중:11.9;연평균성장률:-10.1
튀르키예,국가,수입액,브라질,국가,수입액:2483012;비중:9.6;연평균성장률:-12.3
