엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
말레이시아,국가,수입품목,유제품,품목,국가:말레이시아;시기:2024년
한국,국가,수출,농식품,품목,국가:한국;시기:2018~2022
한국,국가,수출,가공식품,품목,국가:한국;시기:2018~2022
한국,국가,수출,농산물,품목,국가:한국;시기:2018~2022
한국,국가,수출,축산물,품목,국가:한국;시기:2018~2022
한국,국가,수출,임산물,품목,국가:한국;시기:2018~2022
한국,국가,수출,라면,품목,국가:한국;시기:2018~2022
한국,국가,수출,조제식료품기타,품목,국가:한국;시기:2018~2022
한국,국가,수출,동식물성유지기타,품목,국가:한국;시기:2018~2022
한국,국가,수출,옥수수전분,품목,국가:한국;시기:2018~2022
한국,국가,수출,수출액,속성,국가:한국;시기:2018~2022
말레이시아,국가,수입,농식품,품목,국가:말레이시아;시기:2018~2022
말레이시아,국가,수입,가공식품,품목,국가:말레이시아;시기:2018~2022
말레이시아,국가,수입,농산물,품목,국가:말레이시아;시기:2018~2022
말레이시아,국가,수입,축산물,품목,국가:말레이시아;시기:2018~2022
말레이시아,국가,수입,임산물,품목,국가:말레이시아;시기:2018~2022
말레이시아,국가,수입,팜유기타,품목,국가:말레이시아;시기:2022
말레이시아,국가,수입,코코아두,품목,국가:말레이시아;시기:2022
말레이시아,국가,수입,조제식료품,품목,국가:말레이시아;시기:2022
말레이시아,국가,수입,사탕수수기타,품목,국가:말레이시아;시기:2022
말레이시아,국가,수입,옥수수전분,품목,국가:말레이시아;시기:2022
말레이시아,국가,수입,팜유기타,품목,국가:말레이시아;시기:2022
말레이시아,국가,수입,코코아버터,품목,국가:말레이시아;시기:2022
말레이시아,국가,수입,당귀,품목,국가:말레이시아;시기:2022
말레이시아,국가,수입,유제품,품목,국가:말레이시아;시기:2022
말레이시아,국가,수입,유가공품,품목,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입허가,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,할랄인증,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입검역,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,적하목록,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,검역,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,관세,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입통관,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입허가증,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입검사,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입신고,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입검사,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입검역,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입허가,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입검사,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입신고,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입검역,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입허가,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입검사,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입신고,속성,국가:말레이시아;시기:2022
말레이시아,국가,수입,수입검역,속성,국가:말레이시아;시기:2022
