엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
인도만두경쟁기업선정,경쟁기업,선정,인도만두경쟁기업현황및현지화정보,경쟁기업,관련정보
머슬만두,품목,제품명,제품,제품명:머슬만두
머슬만두,품목,제품종류,제품,제품종류:다이어트만두
머슬만두,품목,소비자가격,제품,소비자가격:332.91루피
머슬만두,품목,중량,제품,중량:168g
머슬만두,품목,특징,제품,특징:저칼로리;저지방;글루텐프리;건강만두
아마존,온라인쇼핑몰,취급,아마존,쇼핑몰,취급종류:식료품;생활잡화;건강뷰티;가전제품;의류;액세서리;책;육아용품;스포츠용품
빅바스켓,온라인쇼핑몰,취급,빅바스켓,쇼핑몰,취급종류:식료품;생활잡화;가전제품;의류;미용용품;육아용품
블링킷,온라인쇼핑몰,취급,블링킷,쇼핑몰,취급종류:식료품;생활잡화;가전제품;의류;미용용품;육아용품
프라수마,제조사,생산,프라수마,기업,설립연도:1985
프라수마,제품,제품명,제품,제품명:모모스 치지 스파이시 베즈
프라수마,제품,원산지,제품,원산지:인도
프라수마,제품,가격,제품,가격:325루피
프라수마,제품,중량,제품,중량:468g
프라수마,제품,포장,제품,포장:포장현지화
케벤터,제조사,생산,케벤터,기업,설립연도:1986
케벤터,제품,제품명,제품,제품명:베즈 모모
케벤터,제품,원산지,제품,원산지:인도
케벤터,제품,가격,제품,가격:295루피
케벤터,제품,중량,제품,중량:440g
와우 모모,제조사,생산,와우 모모,기업,설립연도:2008
와우 모모,제품,제품명,제품,제품명:콘 앤 치즈 모모스
와우 모모,제품,원산지,제품,원산지:인도
와우 모모,제품,가격,제품,가격:195루피
와우 모모,제품,중량,제품,중량:480g
네이처스 소울,브랜드,운영,네이처스 소울,기업,설립연도:미상
네이처스 소울,제품,제품명,제품,제품명:쉬림프 딤섬
네이처스 소울,제품,원산지,제품,원산지:인도
네이처스 소울,제품,가격,제품,가격:800루피
네이처스 소울,제품,중량,제품,중량:500g
스파 하이퍼마켓,운영사,운영,스파 하이퍼마켓,기업,설립연도:1932
스파 하이퍼마켓,제품,제품명,제품,제품명:베즈 모모
스파 하이퍼마켓,제품,원산지,제품,원산지:인도
스파 하이퍼마켓,제품,가격,제품,가격:295루피
스파 하이퍼마켓,제품,중량,제품,중량:440g
스펜서스,운영사,운영,스펜서스,기업,설립연도:1920
스펜서스,제품,제품명,제품,제품명:치킨 모모
스펜서스,제품,원산지,제품,원산지:인도
스펜서스,제품,가격,제품,가격:385루피
스펜서스,제품,중량,제품,중량:750g
프레시 투 홈,운영사,운영,프레시 투 홈,기업,설립연도:2015
프레시 투 홈,제품,제품명,제품,제품명:중량 제품
프레시 투 홈,제품,원산지,제품,원산지:인도
프레시 투 홈,제품,가격,제품,가격:미정
프레시 투 홈,제품,중량,제품,중량:미정
