엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
베트남,국가,수출경쟁 심화 품목 현지 이슈조사 보고서,딸기,품목,시기:2024년
딸기,품목,생산량,람동성,지역,수확면적:240ha;생산량:5100톤;연도:2023
딸기,품목,생산량,선라성,지역,수확면적:370ha;생산량:3000톤;연도:2023
딸기,품목,수입액 및 수입량 추이,2023년,수입액,21049만달러,수입량,7653톤,전년대비 성장률:38.9;42.6
중국,국가,수입산 딸기,딸기,품목,수입액:5484만달러;수입량:7081톤;성장률:125.3;274.5
한국,국가,수입산 딸기,딸기,품목,수입액:7340만달러;수입량:572톤;수입가격:15~31달러/kg;판매가격:91000~1400000동/kg
한국,기업,수입/유통,창락농산,기업,가격:약 16200원/500g;수입경로:수입 및 판매
한국,기업,수입/유통,Biovegi,기업,가격:약 12900원/330g
베트남,국가,딸기 재배지역,선라성,지역,수확면적:370ha;생산량:3000톤
베트남,국가,딸기 재배지역,람동성,지역,수확면적:240ha;생산량:5100톤
람동성,지역,재배 시작,달랏시,지역,시작연도:1940년대
선라성,지역,재배 시작,목쩌우현,지역,시작연도:2016년
딸기,품종,일본,토치오토메,품종,특징:크고 열대기후 적응;가격:약 16200원/kg
딸기,품종,한국,설향,품종,특징:높은 당도, 크고 과즙 풍부;가격:약 18900~21600원/kg;수확시기:11월~3월
딸기,품종,한국,금실,품종,특징:높은 당도, 단단한 과육, 복숭아 향;가격:약 69200~115700원/kg;수확시기:11월~3월
딸기,품종,한국,아리향,품종,특징:대과, 크기 균일, 당도 높음;가격:약 81100원/kg;수확시기:11월~3월
딸기,품종,일본,Sky,품종,특징:달콤하고 신맛, 과즙 풍부, 크기 불균일, 끝에 하얀색;가격:약 5400~10800원/kg;수확시기:1년 내내
딸기,품종,베트남,Selva,품종,특징:크고 튼튼, 시고 향약함;가격:약 2700~3200원/kg;수확시기:연중
딸기,품종,베트남,삼공,품종,특징:크고 당도 높음, 수확량 많음;가격:약 8100~10800원/kg;수확시기:연중
딸기,품종,베트남,미사이즈 나가레,품종,특징:일본, 크고 신맛 강함;가격:약 6900원/200g
딸기,품종,베트남,프랑스,품종,특징:중·대 사이즈, 가격:약 6600~7500원/250g
딸기,품종,한국,올프레쉬 금실,품종,특징:고품질, 가격:약 48600원/420g
딸기,품종,한국,한국산 딸기,품종,특징:좋은 맛, 품질·안전성 신뢰;가격:약 5900원/3개
딸기,품종,한국,프리미엄,품종,특징:고품질, 가격:약 7500원/250g
딸기,품종,베트남,미국 품종,품종,특징:높은 당도, 크고 신맛 강함;가격:약 6200원/250g
딸기,품종,베트남,일본 품종,품종,특징:달콤, 부드럽고 향기 좋음;가격:약 6900원/200g
딸기,품종,베트남,프랑스 품종,품종,특징:중·대 사이즈, 가격:약 6600~7500원/250g
딸기,품종,베트남,산타,품종,특징:크고 당도 높음, 수확량 많음;가격:약 8100~10800원/kg
딸기,품종,베트남,선라성 일본 하나,품종,특징:크고 열대적응, 가격:약 16200원/500g
딸기,품종,베트남,선라성 일본 Sky,품종,특징:달콤하고 신맛, 과즙 풍부;가격:약 5400~10800원/kg
딸기,품종,베트남,베트남산,품종,특징:과육 크고 튼튼, 맛 시고 향약함;가격:약 2700~3200원/kg
딸기,품종,베트남,한국산,품종,특징:좋은 맛, 품질, 가격:약 5900원/3개
딸기,품종,베트남,일본,품종,특징:달콤하고 부드러움, 향기 좋음;가격:약 6900원/200g
딸기,품종,베트남,프랑스,품종,특징:중·대 사이즈, 가격:약 6600~7500원/250g
딸기,품종,베트남,미국,품종,특징:높은 당도, 크고 신맛 강함;가격:약 6200원/250g
딸기,품종,한국,산타,품종,특징:크고 당도 높음, 수확량 많음;가격:약 8100원/kg
딸기,품종,한국,금실,품종,특징:높은 당도, 단단한 과육, 복숭아 향;가격:약 69200~115700원/kg
딸기,품종,한국,아리향,품종,특징:대과, 크기 균일, 당도 높음;가격:약 81100원/kg
딸기,품종,일본,Sky,품종,특징:달콤하고 신맛, 과즙 풍부, 크기 불균일, 끝에 하얀색;가격:약 5400~10800원/kg
딸기,품종,베트남,Selva,품종,특징:크고 튼튼, 시고 향약함;가격:약 2700~3200원/kg
딸기,품종,베트남,삼공,품종,특징:크고 당도 높음, 수확량 많음;가격:약 8100~10800원/kg
딸기,품종,베트남,미사이즈 나가레,품종,특징:일본, 크고 신맛 강함;가격:약 6900원/200g
딸기,품종,베트남,프랑스,품종,특징:중·대 사이즈, 가격:약 6600~7500원/250g
딸기,품종,한국,올프레쉬 금실,품종,특징:고품질, 가격:약 48600원/420g
딸기,품종,한국,한국산 딸기,품종,특징:좋은 맛, 안전성, 가격:약 5900원/3개
딸기,품종,한국,프리미엄,품종,특징:고품질, 가격:약 7500원/250g
딸기,품종,베트남,미국 품종,품종,특징:높은 당도, 크고 신맛 강함;가격:약 6200원/250g
딸기,품종,베트남,일본 품종,품종,특징:달콤, 부드러움, 향기 좋음;가격:약 6900원/200g
딸기,품종,베트남,프랑스 품종,품종,특징:중·대 사이즈, 가격:약 6600~7500원/250g
딸기,품종,베트남,산타,품종,특징:크고 당도 높음, 수확량 많음;가격:약 8100~10800원/kg
딸기,품종,베트남,선라성 일본 하나,품종,특징:크고 열대적응, 가격:약 16200원/500g
딸기,품종,베트남,선라성 일본 Sky,품종,특징:달콤하고 신맛, 과즙 풍부;가격:약 5400~10800원/kg
딸기,품종,베트남,베트남산,품종,특징:과육 크고 튼튼, 맛 시고 향약함;가격:약 2700~3200원/kg
딸기,품종,베트남,한국산,품종,특징:좋은 맛, 품질, 가격:약 5900원/3개
딸기,품종,베트남,일본,품종,특징:달콤하고 부드러움, 향기 좋음;가격:약 6900원/200g
딸기,품종,베트남,프랑스,품종,특징:중·대 사이즈, 가격:약 6600~7500원/250g
