엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국,국가,수출,중국,국가,수출액:38294794900달러;전년비:4.6%;연평균성장률:18.7%
한국,국가,수출,일본,국가,수출액:43495002000달러;전년비:7.1%;연평균성장률:0.1%
한국,국가,수출,미국,국가,수출액:10851604000달러;전년비:-4.4%;연평균성장률:10.8%
한국,국가,수출,베트남,국가,수출액:674290000달러;전년비:16.4%;연평균성장률:13.2%
한국,국가,수출,말레이시아,국가,수출액:1803412000달러;전년비:-0.8%;연평균성장률:7.0%
한국,국가,수출,인도네시아,국가,수출액:174529000달러;전년비:1.0%;연평균성장률:4.7%
한국,국가,수출,호주,국가,수출액:194323000달러;전년비:15.3%;연평균성장률:7.0%
한국,국가,수출,싱가포르,국가,수출액:161228000달러;전년비:-9.4%;연평균성장률:4.7%
한국,국가,수출,러시아,국가,수출액:19362000달러;전년비:2.5%;연평균성장률:0.6%
한국,국가,수출,카자흐스탄,국가,수출액:2036200달러;전년비:5.1%;연평균성장률:4.4%
한국,국가,수출,아랍에미리트,국가,수출액:232529000달러;전년비:16.3%;연평균성장률:4.6%
한국,국가,수출,필리핀,국가,수출액:217390000달러;전년비:8.3%;연평균성장률:13.6%
한국,국가,수출,대만,국가,수출액:174179000달러;전년비:15.4%;연평균성장률:7.6%
한국,국가,수출,호주,국가,수출액:194329000달러;전년비:15.3%;연평균성장률:7.0%
한국,국가,수출,유럽연합,국가,수출액:519437500달러;전년비:13.9%;연평균성장률:20.0%
한국,국가,수출,러시아,국가,수출액:19362000달러;전년비:2.5%;연평균성장률:0.6%
한국,국가,수출,몽골,국가,수출액:10031000달러;전년비:28.6%;연평균성장률:22.5%
한국,국가,수출,인도네시아,국가,수출액:174529000달러;전년비:1.0%;연평균성장률:4.7%
한국,국가,수출,아랍에미리트,국가,수출액:232529000달러;전년비:16.3%;연평균성장률:4.6%
한국,국가,수출,필리핀,국가,수출액:217390000달러;전년비:8.3%;연평균성장률:13.6%
한국,국가,수출,대만,국가,수출액:174179000달러;전년비:15.4%;연평균성장률:7.6%
한국,국가,수출,호주,국가,수출액:194329000달러;전년비:15.3%;연평균성장률:7.0%
한국,국가,수출,유럽연합,국가,수출액:519437500달러;전년비:13.9%;연평균성장률:20.0%
중국,국가,수입,한국,국가,수입액:695835000달러;전년비:4.2%;연평균성장률:7.4%
중국,국가,수입,대만,국가,수입액:138055000달러;전년비:45.6%;연평균성장률:11.8%
중국,국가,수입,호주,국가,수입액:388090000달러;전년비:16.6%;연평균성장률:12.4%
중국,국가,수입,한국,국가,수입액:22636000달러;전년비:-13.6%;연평균성장률:7.5%
호주,국가,수입,한국,국가,수입액:388090000달러;전년비:16.6%;연평균성장률:12.4%
호주,국가,수출,한국,국가,수출액:194329000달러;전년비:15.3%;연평균성장률:7.0%
아랍에미리트,국가,수입,한국,국가,수입액:232529000달러;전년비:16.3%;연평균성장률:4.6%
아랍에미리트,국가,수출,한국,국가,수출액:19416000달러;전년비:16.3%;연평균성장률:4.6%
필리핀,국가,수입,한국,국가,수입액:217390000달러;전년비:8.3%;연평균성장률:13.6%
필리핀,국가,수출,한국,국가,수출액:13034500달러;전년비:8.3%;연평균성장률:13.6%
대만,국가,수입,한국,국가,수입액:174179000달러;전년비:15.4%;연평균성장률:7.6%
대만,국가,수출,한국,국가,수출액:174179000달러;전년비:15.4%;연평균성장률:7.6%
러시아,국가,수입,한국,국가,수입액:19362000달러;전년비:2.5%;연평균성장률:0.6%
러시아,국가,수출,한국,국가,수출액:19362000달러;전년비:2.5%;연평균성장률:0.6%
