엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
쌀,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:85775
쌀,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:85775
팥,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:24029
팥,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:24029
콩,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:6040
콩,품목,수입량,미국,국가,국가:미국;시기:2024년 8월;수입량:151351
녹두,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:1125
메밀,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:660
대두,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:12118
대두,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:12118
콩나물콩,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:12118
알땅콩,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:457
생강,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:3854
생강,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:3854
건고추,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:3126
건고추,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:3126
마늘,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:296
마늘,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:296
양파,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:49995
양파,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:49995
참깨,품목,수입량,인도,국가,국가:인도;시기:2024년 8월;수입량:16863
참깨,품목,수입량,중국,국가,국가:중국;시기:2024년 8월;수입량:16863
생강,품목,거래가격,중국,국가,국가:중국;시기:2024년 8월;거래가격:$1350~1547
고추,품목,거래가격,중국,국가,국가:중국;시기:2024년 8월;거래가격:$1540~1822
팥,품목,거래가격,중국,국가,국가:중국;시기:2024년 8월;거래가격:$1211~1239
콩,품목,거래가격,중국,국가,국가:중국;시기:2024년 8월;거래가격:$655~667
녹두,품목,거래가격,중국,국가,국가:중국;시기:2024년 8월;거래가격:$1040~1097
메밀,품목,거래가격,중국,국가,국가:중국;시기:2024년 8월;거래가격:$534~590
대두,품목,거래가격,중국,국가,국가:중국;시기:2024년 8월;거래가격:$546~616
콩나물콩,품목,거래가격,중국,국가,국가:중국;시기:2024년 8월;거래가격:$1054~1068
땅콩,품목,거래가격,중국,국가,국가:중국;시기:2024년 8월;거래가격:$1422~1450
마늘,품목,거래가격,중국,국가,국가:중국;시기:2024년 8월;거래가격:$1167~1209
양파,품목,거래가격,중국,국가,국가:중국;시기:2024년 8월;거래가격:$163~182
참깨,품목,거래가격,중국,국가,국가:중국;시기:2024년 8월;거래가격:$2081~2109
