엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
프랑스,국가,시장규모,감귤류 과일,품목,시기:2024;시장규모:16.4조원
프랑스,국가,시장규모,신선과일,품목,시기:2024;시장규모:18.5조원
프랑스,국가,수입규모,감귤류 과일,품목,시기:2023;수입액:3607억원
프랑스,국가,수입규모,감귤류 과일,품목,시기:2021;수입액:약 2884억 원
프랑스,국가,감귤류 시장,코르시카 귤,품목,시기:2024;생산량:31250톤;원산지:코르시카섬
프랑스,국가,감귤류 시장,감귤,품목,시기:2024;생산량:약 8만8000톤;주요수입국:스페인,이탈리아,포르투갈
프랑스,국가,감귤류 수입,HS CODE 0805.21,품목,시기:2023;수입액:3607억 원
프랑스,국가,감귤류 수입,HS CODE 0805.21,품목,시기:2019-2023;연평균성장률:18.0%
프랑스,국가,감귤류 수입,HS CODE 0805.21,품목,시기:2023;수입국:이스라엘,스페인,모로코,남아공
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;검역요건:수출단지 지정,참여농가 등록,재배지 검역,포장 표기
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;검역요건:수출단지 신청,농가 등록,재배지 검역,포장 표기
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;검역요건:선과,소독처리,포장 표기
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;검역요건:수출단지 지정,농가 등록,재배지 검역,포장 표기
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;검역요건:수출단지 신청,농가 등록,재배지 검역,포장 표기
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;검역요건:Sodium orthophenylphenate 소독처리
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;검역요건:선과,포장 표기
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;검역요건:재배지 검역,선과,포장 표기
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;검역요건:수출단지 신청,선과,포장 표기
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;검역요건:수출단지 지정,참여농가 등록,재배지 검역
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;검역요건:포장 표기,원산지 표기
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;검역요건:EORI 번호 발급
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;검역요건:BTI 사전심사
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;검역요건:AEO 등록 혜택
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;검역요건:EFSA 식품안전관리제도 준수
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;인증:HACCP,ISO22000,IFS,BRCGS,FSSC22000,유기가공식품
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;포장재 규제:플라스틱 규제
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;라벨링:제품명,성분,원산지,영양정보,언어
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;MRL,유해물질 기준,알레르겐 표기
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;가격경쟁력:1kg당 4-6유로
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;포장 스타일:환경친화적,세련된 디자인
프랑스,국가,감귤류 수출,생과실,품목,시기:2024;시장 트렌드:유기농,지속가능,프리미엄
한국,기업,수입,감귤류,품목,시기:2024;수입경로:항공,해상
한국,기업,수입,감귤류,품목,시기:2024;신선도유지:냉장컨테이너
한국,기업,수입,감귤류,품목,시기:2024;운송시간:20-30일
한국,기업,수입,감귤류,품목,시기:2024;신선도유지:적절한 포장
한국,기업,수입,감귤류,품목,시기:2024;시장진입,프리미엄 포지셔닝
한국,기업,수입,감귤류,품목,시기:2024;유통채널:고급 식료품점, 온라인, 전문 매장
한국,기업,수입,감귤류,품목,시기:2024;제품포지셔닝:품질, 맛, 독특함 강조
