엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
고객사 제품,품목,제조사,세레스 오가닉스,기업,국가:한국
고객사 제품,품목,제품명,오가닉 씨위드 오리지널 스낵,품목,제품종류:조미김
고객사 제품,품목,중량,120g,수치,중량:120
고객사 제품,품목,가격,약 11.01호주달러,가격,시기:2024년
고객사 제품,품목,맛,와사비,속성
경쟁제품,품목,제조사,씨프랜드,기업,국가:한국
경쟁제품,품목,제품명,로스티드 씨위드 재래김,품목,제품종류:조미김
경쟁제품,품목,중량,5g*8팩,수치,중량:40
경쟁제품,품목,가격,약 5.00호주달러,가격,시기:2024년
경쟁제품,품목,맛,재래김,속성
경쟁제품,품목,제조사,김미,기업,국가:한국
경쟁제품,품목,제품명,로스티드 씨위드 스낵 데리야키,품목,제품종류:조미김
경쟁제품,품목,중량,5g*6팩,수치,중량:30
경쟁제품,품목,가격,약 27.13호주달러,가격,시기:2024년
경쟁제품,품목,맛,데리야키,속성
경쟁제품,품목,원산지,한국,속성
경쟁제품,품목,포장형태,폴리프로필렌/플라스틱트레이,포장,포장형태
경쟁제품,품목,인증,HACCP,인증
경쟁제품,품목,홍보문구,최고급 김과 파래를 혼합,속성
경쟁제품,품목,중량,48g,수치,중량:48
경쟁제품,품목,가격,약 6.69호주달러,가격,시기:2024년
경쟁제품,품목,맛,소금,속성
경쟁제품,품목,원산지,한국,속성
경쟁제품,품목,포장형태,비닐/폴리프로필렌,포장
경쟁제품,품목,인증,없음,인증
경쟁제품,품목,홍보문구,좋은 원초로 만들어 향긋하고 고소한,속성
경쟁제품,품목,중량,64g,수치,중량:64
경쟁제품,품목,가격,약 8.49호주달러,가격,시기:2024년
경쟁제품,품목,맛,참기름,속성
경쟁제품,품목,원산지,한국,속성
경쟁제품,품목,포장형태,비닐/폴리프로필렌,포장
경쟁제품,품목,인증,없음,인증
경쟁제품,품목,홍보문구,좋은 원초로 만들어 향긋하고 고소한,속성
경쟁제품,품목,중량,80g,수치,중량:80
경쟁제품,품목,가격,약 9.99호주달러,가격,시기:2024년
경쟁제품,품목,맛,파래김,속성
경쟁제품,품목,원산지,한국,속성
경쟁제품,품목,포장형태,비닐/폴리프로필렌,포장
경쟁제품,품목,인증,없음,인증
경쟁제품,품목,홍보문구,최고급 김과 파래를 혼합,속성
경쟁제품,품목,중량,64g,수치,중량:64
경쟁제품,품목,가격,약 8.49호주달러,가격,시기:2024년
경쟁제품,품목,맛,참기름,속성
경쟁제품,품목,원산지,한국,속성
경쟁제품,품목,포장형태,비닐/폴리프로필렌,포장
경쟁제품,품목,인증,없음,인증
경쟁제품,품목,홍보문구,좋은 원초로 만들어 향긋하고 고소한,속성
경쟁제품,품목,중량,48g,수치,중량:48
경쟁제품,품목,가격,약 6.69호주달러,가격,시기:2024년
경쟁제품,품목,맛,파래김,속성
경쟁제품,품목,원산지,한국,속성
경쟁제품,품목,포장형태,비닐/폴리프로필렌,포장
경쟁제품,품목,인증,없음,인증
경쟁제품,품목,홍보문구,좋은 원초로 만들어 향긋하고 고소한,속성
경쟁제품,품목,중량,64g,수치,중량:64
경쟁제품,품목,가격,약 8.49호주달러,가격,시기:2024년
경쟁제품,품목,맛,참기름,속성
경쟁제품,품목,원산지,한국,속성
