엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
사우디아라비아,국가,수입딸기수입,한국,국가,가격대:약15-20리얄;품목:프리미엄 딸기;수입국:남아프리카공화국|스페인|터키
딸기,품목,원산지,미국,국가,원산지:미국
딸기,품목,원산지,스페인,국가,원산지:스페인
딸기,품목,원산지,멕시코,국가,원산지:멕시코
딸기,품목,HS코드,0810.10,코드,HS CODE:0810.10
딸기,품목,가격,약15-20리얄,속성,가격대
딸기,품목,농약잔류허용기준,아바멕틴:0.15mg/kg;브로모프로필레이트:2mg/kg;보스칼리드:3mg/kg;브롬화이온:30mg/kg;캡탄:15mg/kg;클로르피리포스:0.3mg/kg;퍼메트린:1mg/kg;퀴녹시펜:1mg/kg;스피로디클로펜:2mg/kg;설폭사플로르:0.5mg/kg,속성
딸기,품목,알레르겐성분,글루텐,의무
딸기,품목,알레르겐성분,갑각류,의무
딸기,품목,알레르겐성분,생선류,의무
딸기,품목,알레르겐성분,땅콩류,의무
딸기,품목,알레르겐성분,아몬드 헤이즐넛 호두 캐슈넛,의무
딸기,품목,알레르겐성분,우유 및 유당류,의무
딸기,품목,알레르겐성분,이산화황,의무
딸기,품목,알레르겐성분,겨자류,의무
딸기,품목,알레르겐성분,연체동물류,의무
딸기,품목,알레르겐성분,루핀류,의무
딸기,품목,알레르겐성분,참깨류,의무
딸기,품목,알레르겐성분,콩류,의무
딸기,품목,라벨표시,제품명,필수
딸기,품목,라벨표시,생산일자,선택적
딸기,품목,라벨표시,유통기한,선택적
딸기,품목,라벨표시,보관방법,선택적
딸기,품목,라벨표시,성분목록,필수
딸기,품목,시장수요,증가,속성
딸기,품목,유통채널,대형 슈퍼마켓,유통채널
딸기,품목,가격,약15-20리얄,속성
딸기,품목,원산지,남아프리카공화국,국가
딸기,품목,원산지,스페인,국가
딸기,품목,포장,투명팩,포장
딸기,품목,가격,약15-20리얄,속성
딸기,품목,시장,프리미엄 딸기,시장
딸기,품목,유통채널,슈퍼마켓,유통채널
딸기,품목,홍보문구,고품질;신선;프리미엄,속성
딸기,품목,가격대,약15-20리얄,속성
딸기,품목,수입국,남아프리카공화국,국가
딸기,품목,수입국,스페인,국가
딸기,품목,수입국,터키,국가
딸기,품목,가격,약15-20리얄,속성
딸기,품목,포장,투명팩,포장
딸기,품목,시장,프리미엄 딸기,시장
딸기,품목,유통채널,슈퍼마켓,유통채널
딸기,품목,홍보문구,고품질;신선;프리미엄,속성
딸기,품목,가격대,약15-20리얄,속성
딸기,품목,원산지,남아프리카공화국,국가
딸기,품목,원산지,스페인,국가
딸기,품목,원산지,터키,국가
딸기,품목,포장,투명팩,포장
딸기,품목,시장,프리미엄 딸기,시장
딸기,품목,유통채널,슈퍼마켓,유통채널
딸기,품목,홍보문구,고품질;신선;프리미엄,속성
