엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
Pharmacity,기업,운영하는,베트남 약국 체인,국내기업,설립연도:2012;모회사:Maroon;2021년 한국투자:14.5%
Long Chau,기업,운영하는,베트남 약국 체인,국내기업,설립연도:2007;2017년 FPT Retail 인수
An Khang,기업,운영하는,베트남 약국 체인,국내기업,설립연도:2017
EcoGreen,제품,제조국가,USA,제품,Increase cerebral blood circulation,가격:24.85USD(32000원)
ROHTO,제품,제조국가,Japan,제품,Vietnam Food for alcohol and liver cooling,가격:1.78USD(2300원)
TRACY BEE,제품,제조국가,Brazil,제품,Health protection food,가격:11.37USD(15000원)
Pharmaviton,제품,제조국가,Vietnam,제품,Pharmavitong Plus energy drink,가격:12.2USD(16000원)
CJ,제품,제조국가,Korea,제품,CJ InnerB Snow White skin lightening tablets,가격:40.95USD(54000원)
Long Chau,기업,운영하는,베트남 약국 체인,국내기업,설립연도:2007;2017년 FPT Retail 인수
BJP LABORATORIES,기업,운영하는,호주 약국 체인,호주,제품,Brauer Baby & Child Immune Defense Probiotic Liquid syrup,가격:23.17USD(30121원)
PHARVINA,기업,운영하는,베트남 약국 체인,베트남,제품,Fer+Multi Hatro syrup,가격:6.32USD(8216원)
Vitamins for lift LLC,기업,운영하는,USA,제품,Mind Plus Vitamins For Life,가격:16.64USD(21632원)
LUSTREL LABORATOIRES,기업,운영하는,프랑스,제품,VwhiteSkin Ocavill oral tablet,가격:20.64USD(26832원)
LUSTREL LABORATOIRES,기업,운영하는,프랑스,제품,Liver detoxification liver protection,가격:23.17USD(30121원)
GRICAR,기업,운영하는,이탈리아,제품,Ericllux Ocavill oral tablet,가격:27.38USD(35594원)
VESTA PHARMACEUTIC AL DEVELOPMENT,기업,운영하는,베트남,제품,Bio Hair Nail & Skin Royal Care tablets,가격:6.74USD(8762원)
AFC - HD AMS LIFE SCIENCE CO.,기업,운영하는,일본,제품,Royal Placenta drinking water,가격:122.16USD(158808원)
LEGOSAN AB,기업,운영하는,스웨덴,제품,Active Liver Plus New Nordic oral tablet,가격:17.69USD(22997원)
Omexxel,기업,운영하는,USA,제품,Premium Omexxel Skin Hair Nails Health,가격:27.8USD(36140원)
ErgoPharma,기업,운영하는,슬로베니아,제품,LineaBon K2 + D3 solution,가격:12.43USD(16159원)
