엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,시장규모,유자차,품목,시기:2024;시장규모:49900억원
미국,국가,시장규모,잼&마멀레이드,품목,시기:2024;시장규모:2300억원
미국,국가,수입액,HS CODE 2008.30,품목,시기:2023;수입액:4848억원
미국,국가,수입액,HS CODE 2008.30,품목,시기:2023;수입액:98억원
미국,국가,유통채널,하이퍼마켓/슈퍼마켓,유통채널,점유율:50.7%;시기:2024
미국,국가,유통채널,온라인,유통채널,점유율:6.6%;시기:2024
미국,국가,유통채널,편의점,유통채널,점유율:6.3%;시기:2024
미국,국가,유통채널,할인점,유통채널,점유율:6.3%;시기:2024
미국,국가,유통채널,유기농 식품 매장,유통채널,점유율:4.6%;시기:2024
미국,국가,유통채널,드럭스토어,유통채널,점유율:4.3%;시기:2024
미국,국가,유통채널,기타,유통채널,점유율:21.4%;시기:2024
미국,국가,유자차,브랜드,테라비타,품목,가격:17.97달러;중량:4oz
미국,국가,유자차,브랜드,재패니즈그린티코,품목,가격:60.8달러;중량:2.8oz
미국,국가,유자차,브랜드,티젠,품목,가격:14.95달러;중량:3.5oz
미국,국가,유자차,브랜드,누미,품목,가격:24.42달러;중량:1.02oz*3팩
미국,국가,유자차,브랜드,달라마리,품목,가격:12.99달러;중량:100g
미국,국가,유자차,브랜드,전라남도,품목,가격:19.99달러;중량:50oz
미국,국가,유자차,브랜드,운하스,품목,가격:18.48달러;중량:998g
미국,국가,유자차,브랜드,허니시트론티,품목,가격:28.99달러;중량:30g*50팩
미국,국가,유자차,브랜드,다하다,품목,가격:6달러;중량:20g
미국,국가,유자차,브랜드,야미,품목,가격:8.70달러;중량:750g
미국,국가,유자차,브랜드,코스트코,품목,가격:28.99달러;중량:2kg
미국,국가,유자차,브랜드,트레이더조,품목,가격:가격정보없음;중량:750g(25g*30ea)
미국,국가,유자차,브랜드,시온마켓,품목,가격:가격정보없음;중량:750g(25g*30ea)
미국,국가,유자차,브랜드,에이치마트,품목,가격:가격정보없음;중량:750g(25g*30ea)
미국,국가,유자차,브랜드,야미,품목,가격:가격정보없음;중량:750g(25g*30ea)
미국,국가,유자차,브랜드,코스트코,품목,가격:28.99달러;중량:2kg
미국,국가,유자차,브랜드,허니시트론티,품목,가격:가격정보없음;중량:750g(25g*30ea)
미국,국가,유자차,브랜드,다하다,품목,가격:6달러;중량:20g
미국,국가,유자차,브랜드,야미,품목,가격:8.70달러;중량:750g
미국,국가,유자차,브랜드,코스트코,품목,가격:28.99달러;중량:2kg
미국,국가,유자차,브랜드,트레이더조,품목,가격:가격정보없음;중량:750g(25g*30ea)
미국,국가,유자차,브랜드,시온마켓,품목,가격:가격정보없음;중량:750g(25g*30ea)
미국,국가,유자차,브랜드,에이치마트,품목,가격:가격정보없음;중량:750g(25g*30ea)
미국,국가,유자차,브랜드,야미,품목,가격:가격정보없음;중량:750g(25g*30ea)
