엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
제품명,품목,포함,마녀 라면스프,품목,제품명:마녀 라면스프
제품 종류,품목,포함,라면스프(파우더),품목,제품 종류:라면스프(파우더)
중량,시간,단위,48g,시간,중량:48g
가격,가격,단위,4800원,시간,가격:4800원
특징,속성,설명,위생적이고 간편하게 라면 국물 만들 수 있음;다양한 요리에 사용 가능;비건,속성
원산지,국가,생산지,인도네시아,국가
온라인 쇼핑몰,장소,확인,토코피디아,장소
온라인 쇼핑몰,장소,확인,쇼피,장소
온라인 쇼핑몰,장소,확인,라자다,장소
경쟁제품,품목,포함,붐부 미 방글라데시 페이버릿,품목
경쟁제품,품목,포함,하이스 인스턴트 프론 누들 페이스트,품목
경쟁제품,품목,포함,나스 붐부 미 아체,품목
경쟁제품,품목,포함,굿 아로마 붐부 타부르,품목
경쟁제품,품목,포함,Bumbu Masak Mie Sop Perkedel,품목
경쟁제품,품목,포함,Prima Taste Laksa Paste,품목
경쟁제품,품목,포함,Warasa Shoyu Ramen,품목
경쟁제품,품목,포함,Hai's Brand Instant Mee Goreng Paste,품목
경쟁제품,품목,포함,Hai's Asia Joy Fried Hokkien Prawn Noodle Paste,품목
경쟁제품,품목,포함,Kanokwan Pad Thai Paste,품목
경쟁제품,중량,단위,60g,시간
경쟁제품,가격,단위,86990루피아,시간
경쟁제품,원산지,국가,인도네시아,국가
경쟁제품,맛,속성,치킨,속성
경쟁제품,포장형태,속성,종이상자,속성
경쟁제품,인증,속성,BPOM,속성
경쟁제품,유통기한,시간,12개월,시간
경쟁제품,중량,단위,60g,시간
경쟁제품,가격,단위,86990루피아,시간
경쟁제품,원산지,국가,인도네시아,국가
경쟁제품,맛,속성,치킨,속성
경쟁제품,포장형태,속성,종이상자,속성
경쟁제품,인증,속성,HALAL BPOM,속성
경쟁제품,유통기한,시간,12개월,시간
경쟁제품,중량,단위,60g,시간
경쟁제품,가격,단위,20000루피아,시간
경쟁제품,원산지,국가,말레이시아,국가
경쟁제품,맛,속성,치킨,속성
경쟁제품,포장형태,속성,종이상자,속성
경쟁제품,인증,속성,HALAL BPOM,속성
경쟁제품,유통기한,시간,12개월,시간
경쟁제품,중량,단위,60g,시간
경쟁제품,가격,단위,20000루피아,시간
경쟁제품,원산지,국가,말레이시아,국가
경쟁제품,맛,속성,치킨,속성
경쟁제품,포장형태,속성,종이상자,속성
경쟁제품,인증,속성,HALAL BPOM,속성
경쟁제품,유통기한,시간,12개월,시간
경쟁제품,중량,단위,60g,시간
경쟁제품,가격,단위,20000루피아,시간
경쟁제품,원산지,국가,말레이시아,국가
경쟁제품,맛,속성,치킨,속성
경쟁제품,포장형태,속성,종이상자,속성
경쟁제품,인증,속성,HALAL BPOM,속성
경쟁제품,유통기한,시간,12개월,시간
경쟁제품,중량,단위,60g,시간
경쟁제품,가격,단위,36000루피아,시간
경쟁제품,원산지,국가,싱가포르,국가
경쟁제품,맛,속성,락사,속성
경쟁제품,포장형태,속성,플라스틱파우치,속성
경쟁제품,인증,속성,BPOM,속성
경쟁제품,유통기한,시간,6개월,시간
경쟁제품,중량,단위,80g,시간
경쟁제품,가격,단위,36000루피아,시간
경쟁제품,원산지,국가,싱가포르,국가
경쟁제품,맛,속성,락사,속성
경쟁제품,포장형태,속성,플라스틱파우치,속성
경쟁제품,인증,속성,BPOM,속성
경쟁제품,유통기한,시간,6개월,시간
경쟁제품,중량,단위,80g,시간
경쟁제품,가격,단위,45400루피아,시간
경쟁제품,원산지,국가,말레이시아,국가
경쟁제품,맛,속성,프라이드호끼엔,속성
경쟁제품,포장형태,속성,플라스틱파우치,속성
경쟁제품,인증,속성,BPOM,속성
경쟁제품,유통기한,시간,6개월,시간
경쟁제품,중량,단위,230g,시간
경쟁제품,가격,단위,45400루피아,시간
경쟁제품,원산지,국가,말레이시아,국가
경쟁제품,맛,속성,프라이드호끼엔,속성
경쟁제품,포장형태,속성,플라스틱파우치,속성
경쟁제품,인증,속성,BPOM,속성
경쟁제품,유통기한,시간,6개월,시간
경쟁제품,중량,단위,230g,시간
경쟁제품,가격,단위,19200루피아,시간
경쟁제품,원산지,국가,태국,국가
경쟁제품,맛,속성,프론오리지널,속성
경쟁제품,포장형태,속성,플라스틱파우치,속성
경쟁제품,인증,속성,BPOM,속성
경쟁제품,유통기한,시간,6개월,시간
경쟁제품,중량,단위,72g,시간
경쟁제품,가격,단위,19200루피아,시간
경쟁제품,원산지,국가,태국,국가
경쟁제품,맛,속성,프론오리지널,속성
경쟁제품,포장형태,속성,플라스틱파우치,속성
경쟁제품,인증,속성,BPOM,속성
경쟁제품,유통기한,시간,6개월,시간
경쟁제품,중량,단위,72g,시간
경쟁제품,가격,단위,9000루피아,시간
경쟁제품,원산지,국가,말레이시아,국가
경쟁제품,맛,속성,프론누들,속성
경쟁제품,포장형태,속성,플라스틱파우치,속성
경쟁제품,인증,속성,BPOM,속성
경쟁제품,유통기한,시간,6개월,시간
경쟁제품,중량,단위,72g,시간
경쟁제품,가격,단위,9000루피아,시간
경쟁제품,원산지,국가,말레이시아,국가
경쟁제품,맛,속성,프론누들,속성
경쟁제품,포장형태,속성,플라스틱파우치,속성
경쟁제품,인증,속성,BPOM,속성
경쟁제품,유통기한,시간,6개월,시간
경쟁제품,중량,단위,72g,시간
경쟁제품,가격,단위,9000루피아,시간
경쟁제품,원산지,국가,말레이시아,국가
경쟁제품,맛,속성,프론누들,속성
경쟁제품,포장형태,속성,플라스틱파우치,속성
경쟁제품,인증,속성,BPOM,속성
경쟁제품,유통기한,시간,6개월,시간
경쟁제품,중량,단위,72g,시간
