엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
일본,국가,수입국,수산물,품목,원산지:일본
일본,국가,시장규모,수산가공품,품목,시장규모:242.5억달러;연평균성장률:1.99
일본,국가,시장규모,신선생선,품목,시장규모:234.3억달러;연평균성장률:1.69
일본,국가,시장규모,수산물,품목,시장규모:560.4억달러;연평균성장률:1.69
일본,국가,수산물소비,7인당소비량,속성,70.3kg
일본,국가,수산물소비,7인당소비량,속성,2.0kg
일본,국가,수산물소비,7인당소비량,속성,16.9kg
일본,국가,수산물가격,평균가격,속성,15.55달러;연평균증가율:2.0
일본,국가,수산물가격,평균가격,속성,16달러돌파예상:2026년;16.34달러:2028년
일본,국가,수산물수입,HS코드0301,품목,수입액:7556만달러;감소율:-5.296
일본,국가,수산물수입,HS코드1604,품목,수입액:496만달러;감소율:1.59
일본,국가,수산물수입,HS코드7604,품목,수입액:36386만달러;감소율:-1.59
일본,국가,수산물수입,HS코드1604.19,품목,수입액:496만달러
일본,국가,수산물수입,HS코드0301.99,품목,수입액:7556만달러
일본,국가,수산물수입,HS코드,품목,감소율:-5.296
일본,국가,수산물수입,대상국,중국,국가,수입액:3636만달러;감소율:-89
일본,국가,수산물수입,대상국,대만,국가,수입액:14만달러;감소율:22.396
일본,국가,수산가공품수출,품목,생선조림,속성,수출규제:수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,건조생선,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,장어구이,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,생선조림,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,생선가공품,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,생선,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,수산물,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,수산물,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,수산물,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,수산물,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,수산물,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,수산물,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,수산물,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,수산물,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,수산물,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,수산물,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,수산물,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,수산물,속성,수입전 일본 사전등록필수
일본,국가,수산가공품수출,품목,수산물,속성,수입전 일본 사전등록필수
