엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
쌀,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:126152
팥,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:32181
콩,품목,수입량,미국,국가,국가:미국;시기:2024년11월;수입량:196302
녹두,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:1695
메밀,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:660
대두,품목,수입량,미국,국가,국가:미국;시기:2024년11월;수입량:196302
녹두,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:1695
메밀,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:660
콩나물콩,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:13466
알땅콩,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:591
생강,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:4224
건고추,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:4395
마늘,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:384
참깨,품목,수입량,인도,국가,국가:인도;시기:2024년11월;수입량:19023
생강,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:4224
참깨,품목,수입량,인도,국가,국가:인도;시기:2024년11월;수입량:19023
건고추,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:4438
마늘,품목,수입량,중국,국가,국가:중국;시기:2024년11월;수입량:384
참깨,품목,수입량,인도,국가,국가:인도;시기:2024년11월;수입량:19023
