엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
고객사 제품,품목,제조,제품명:술킷 홈 브루잉 키트,품목,제품 종류:곡류 가공품;중량:500g;가격:373134동;특징:물만 부어 전통주 양조 가능,시기:2024년 10월
경쟁제품,품목,제조,제품명:샹추안 효모,품목,원산지:중국,가격:9000동,중량:2g
경쟁제품,품목,제조,제품명:막걸리 홈 브루잉 파우더,품목,원산지:한국,가격:280000동,중량:330g
경쟁제품,품목,제조,제품명:머 (m ở ) 멤 너우 르어우 양 볻 민,품목,원산지:중국,가격:15000동,중량:50g
경쟁제품,품목,제조,제품명:막걸리 B사,품목,원산지:한국,가격:69000동,중량:750ml
경쟁제품,품목,제조,제품명:월매 막걸리,품목,원산지:한국,가격:98000동,중량:750ml
경쟁제품,품목,제조,제품명:월매 막걸리 비 다오,품목,원산지:한국,가격:98000동,중량:750ml
경쟁제품,품목,제조,제품명:막걸리 B사,품목,원산지:한국,가격:75000동,중량:750ml
경쟁제품,품목,제조,제품명:막걸리 B사,품목,원산지:한국,가격:75000동,중량:750ml
경쟁제품,품목,제조,제품명:막걸리 B사,품목,원산지:한국,가격:75000동,중량:750ml
경쟁제품,품목,제조,제품명:사케 마스미 카야,품목,원산지:일본,가격:260000동,중량:300ml
경쟁제품,품목,제조,제품명:사케 니시노세키 니고리자케,품목,원산지:일본,가격:272000동,중량:300ml
경쟁제품,품목,제조,제품명:사케 니시노세키 하나,품목,원산지:일본,가격:225000동,중량:300ml
경쟁제품,품목,제조,제품명:사케 니시노세키 준메이슈,품목,원산지:일본,가격:272000동,중량:300ml
경쟁제품,품목,제조,제품명:코라이스 막걸리 (체스트넛),품목,원산지:한국,가격:66500동,중량:750ml
경쟁제품,품목,제조,제품명:사케 호우준 준마이슈 즈이요,품목,원산지:일본,가격:273000동,중량:300ml
경쟁제품,품목,제조,제품명:코라이스 막걸리,품목,원산지:한국,가격:65000동,중량:750ml
경쟁제품,품목,제조,제품명:브루잉 키트 A사 막걸리,품목,원산지:한국,가격:350000동,중량:330g
경쟁제품,품목,제조,제품명:막걸리 B사,품목,원산지:한국,가격:75000동,중량:750ml
경쟁제품,품목,제조,제품명:막걸리 B사,품목,원산지:한국,가격:75000동,중량:750ml
경쟁제품,품목,제조,제품명:막걸리 B사,품목,원산지:한국,가격:75000동,중량:750ml
경쟁제품,품목,제조,제품명:사케 마스미 카야,품목,원산지:일본,가격:260000동,중량:300ml
경쟁제품,품목,제조,제품명:사케 니시노세키 니고리자케,품목,원산지:일본,가격:272000동,중량:300ml
경쟁제품,품목,제조,제품명:사케 니시노세키 하나,품목,원산지:일본,가격:225000동,중량:300ml
경쟁제품,품목,제조,제품명:사케 니시노세키 준메이슈,품목,원산지:일본,가격:272000동,중량:300ml
경쟁제품,품목,제조,제품명:코라이스 막걸리 (체스트넛),품목,원산지:한국,가격:66500동,중량:750ml
경쟁제품,품목,제조,제품명:사케 호우준 준마이슈 즈이요,품목,원산지:일본,가격:273000동,중량:300ml
