엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
일본,국가,수출국,수면보조식품,품목,시기:2024
수면보조식품,품목,제조사,키유피 릴라레 스이민 사프리,품목,원산지:일본;가격:2380엔;용량:60캡슐
수면보조식품,품목,제조사,데이 애프터,품목,원산지:일본;가격:1330엔;용량:120캡슐
수면보조식품,품목,제조사,듄,품목,원산지:일본;가격:800엔;용량:30캡슐
수면보조식품,품목,제조사,모아나 허브,품목,원산지:일본;가격:14240엔;용량:60캡슐*3팩
수면보조식품,품목,제조사,시드 콤스,품목,원산지:일본;가격:2980엔;용량:30캡슐
수면보조식품,품목,제조사,고바야시 제약 블루베리 루테인,품목,원산지:일본;가격:1300엔;용량:60캡슐
수면보조식품,품목,제조사,에스테 프로라보,품목,원산지:일본;가격:3020엔;용량:30포
수면보조식품,품목,제조사,낫토키네이스 EPA DHA,품목,원산지:일본;가격:1498엔;용량:30캡슐
수면보조식품,품목,제조사,네루노다 쓰부타이푸,품목,원산지:일본;가격:1490엔;용량:30정
수면보조식품,품목,제조사,파인구린GABA푸레미아무,품목,원산지:일본;가격:1706엔;용량:90정
수면보조식품,품목,제조사,아라푸라스 후카이네무리,품목,원산지:일본;가격:5940엔;용량:30정
수면보조식품,품목,제조사,웃토,품목,원산지:일본;가격:2178엔;용량:12정
수면보조식품,품목,제조사,네오데이,품목,원산지:일본;가격:1760엔;용량:12정
수면보조식품,품목,제조사,스이민굿스리EX,품목,원산지:일본;가격:1922엔;용량:60정
수면보조식품,품목,제조사,네루노다 쓰부타이푸,품목,원산지:일본;가격:1490엔;용량:30정
수면보조식품,품목,제조사,파인구린GABA푸레미아무,품목,원산지:일본;가격:1706엔;용량:90정
수면보조식품,품목,제조사,아라푸라스 후카이네무리,품목,원산지:일본;가격:5940엔;용량:30정
