엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
고객사,기업,제작하는 제품,요거트 과일캔디,품목,제품명:N사 요거사과볼;가격:1.81달러;중량:30g;포장:종이 상자/파우치;특징:동결건조 사과에 요거트 코팅;원산지:미국
경쟁기업,기업,제작하는 제품,프로바이오틱 스트로베리 요기스,품목,제품명:Probiotic Strawberry Yoggies;가격:5.99달러;중량:139g;포장:파우치;원산지:미국
경쟁기업,기업,제작하는 제품,프리즈 드라이드 스트로베리 프루트 크리스프,품목,제품명:Freeze Dried Strawberry Fruit Crisps;가격:3.72달러;중량:28g;포장:파우치;원산지:중국
경쟁기업,기업,제작하는 제품,요거트 커버드 레이즌,품목,제품명:Yogurt Covered Raisins;가격:13.29달러;중량:170g;포장:종이 상자;원산지:미국
경쟁기업,기업,제작하는 제품,블루베리 크리스프 디프드 크랜베리 믹스,품목,제품명:Blueberry Crisp Dipped Cranberry Mix;가격:2.92달러;중량:128g;포장:파우치;원산지:미국
경쟁기업,기업,제작하는 제품,마리아니 바닐라 요거트 레이즌,품목,제품명:Mariani Vanilla Yogurt Raisins;가격:2.98달러;중량:198g;포장:파우치;원산지:미국
경쟁기업,기업,제작하는 제품,프리즈 드라이드 피그 슬라이스,품목,제품명:Freeze Dried Fig slices;가격:3.69달러;중량:50g;포장:파우치;원산지:튀르키예
경쟁기업,기업,제작하는 제품,트루 프루 네이처스 스트로베리,품목,제품명:Tru Fru Natures's Strawberries;가격:5.99달러;중량:119g;포장:파우치;원산지:미국
경쟁기업,기업,제작하는 제품,프리즈 드라이드 스트로베리 애플 앤 프루트 블렌드,품목,제품명:Freeze-Dried Strawberry Apple & Peach Fruit Blend;가격:4.59달러;중량:28g;포장:파우치;원산지:미국
경쟁기업,기업,제작하는 제품,요거트 과일캔디,품목,제품명:네이처스 가든 프로바이오틱 스트로베리 요기스;가격:19.49달러;중량:600g;포장:파우치;원산지:미국
경쟁기업,기업,제작하는 제품,요거트 과일캔디,품목,제품명:네이처스 가든 프로바이오틱 스트로베리 요기스;가격:19.49달러;중량:600g;포장:파우치;원산지:미국
경쟁기업,기업,제작하는 제품,요거트 과일캔디,품목,제품명:네이처스 가든 프로바이오틱 스트로베리 요기스;가격:19.49달러;중량:600g;포장:파우치;원산지:미국
경쟁기업,기업,제작하는 제품,요거트 과일캔디,품목,제품명:네이처스 가든 프로바이오틱 스트로베리 요기스;가격:19.49달러;중량:600g;포장:파우치;원산지:미국
