엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
중국,국가,시장,식품 시장,시장,규모:188495억달러;성장률:6.2%; CAGR('18~'22):7.2%; CAGR('23~'27):8.0%
중국,국가,시장,음료 시장,시장,규모:3199억달러;성장률:2.9%; CAGR('18~'22):3.5%; CAGR('23~'27):4.8%
중국,국가,시장,식품 시장,시장,점유율:64.1%; 주요 품목:육류,베이커리,낙농품,채소류,편의식품
중국,국가,시장,음료 시장,시장,점유율:63.3%; 알코올 음료:3199억달러; 비알코올 음료:2030억달러
중국,국가,시장,육류,품목,시장규모:2488억달러; 성장률:7.7%
중국,국가,시장,베이커리 및 시리얼류,품목,시장규모:2319억달러; 성장률:7.6%
중국,국가,시장,낙농품,품목,시장규모:1411억달러; 성장률:9.0%
중국,국가,시장,채소류,품목,시장규모:1369억달러; 성장률:5.6%
중국,국가,시장,편의식품,품목,시장규모:1265억달러; 성장률:9.5%
중국,국가,시장,소스 및 향신료,품목,시장규모:383억달러; 성장률:8.4%
중국,국가,시장,유지류,품목,시장규모:195억달러; 성장률:0.8%
중국,국가,시장,영유아용 식품,품목,시장규모:168억달러; 성장률:4.6%
중국,국가,시장,알코올 음료,품목,시장규모:319억달러; 점유율:63.3%
중국,국가,시장,비알코올 음료,품목,시장규모:203억달러; 성장률:9.7%
중국,국가,시장,수입식품,품목,수입액:약 354억달러(1~4월); 주요 수입국:미국, 뉴질랜드, 브라질, 태국, 인도네시아
중국,국가,시장,수입품목,품목,상위 수입품목:육류,곡물,과일,수산물,유제품
중국,국가,시장,한국,기업,수출액:22억달러(2022); 주요 수출품목:라면,어류,음료,김,과자
한국,기업,수출,중국,국가,수출액:22억달러(2022)
한국,기업,수출,중국,국가,수출품목:라면,어류,음료,김,과자
중국,국가,시장,한국산 식품,품목,유통경로:마트,하이퍼마켓,회원제 창고형마트,편의점,한국식품전문점
중국,국가,시장,한국산 소스,품목,인기제품:고추장,비빔밥소스,불고기소스,소스류
중국,국가,시장,한국산 주류,품목,인기제품:소주,막걸리,맥주
중국,국가,시장,한국산 간식,품목,인기제품:조미김,팽화식품,사탕,젤리,초콜릿
중국,국가,시장,한국산 음료,품목,인기제품:유자차,과일주스,우유,RTD커피
중국,국가,시장,한국산 식품,품목,수입규모,약 12.5억달러(2022)
중국,국가,시장,한국산 식품,유통경로,마트,편의점,온라인 플랫폼
중국,국가,시장,한국산 라면,품목,대표브랜드:삼양,농심,오뚜기,팔도
중국,국가,시장,한국산 간식,품목,대표제품:조미김,팽화식품,사탕
중국,국가,시장,한국산 음료,품목,대표제품:아몬드우유,RTD커피,코코넛워터
중국,국가,시장,한국산 소스,품목,대표제품:고추장,불고기소스,비빔밥소스
중국,국가,시장,한국산 주류,품목,대표제품:소주,막걸리
중국,국가,시장,한국산 간식,품목,대표제품:청포도사탕,김,팽화식품
중국,국가,시장,한국산 식품,품목,포장·용량변화,대용량,소포장,신제품
중국,국가,시장,한국산 식품,품목,마케팅,한정판매,크로스오버,팝업스토어
중국,국가,시장,한국산 식품,품목,포장,스마트캡,친환경포장
중국,국가,시장,한국산 식품,품목,기술,제조공법,무첨가,건강성분,포장기술
중국,국가,시장,한국산 식품,품목,경쟁력,차별화된 제품,가격경쟁력
중국,국가,시장,한국산 식품,품목,유통,마트,하이퍼마켓,편의점,온라인 플랫폼
중국,국가,시장,한국산 식품,품목,마케팅,온라인 SNS,인플루언서,한류콘텐츠
중국,국가,시장,한국산 식품,품목,시장전망,수입증가,경쟁심화,기회와위협
중국,국가,시장,한국산 식품,품목,특징,고품질,혁신,포장,가격경쟁력
중국,국가,시장,한국산 식품,품목,트렌드,건강중시,가성비,포장디자인
중국,국가,시장,한국산 식품,품목,마케팅,라이브커머스,팝업스토어,한류콘텐츠
중국,국가,시장,한국산 식품,품목,경쟁,로컬브랜드,가격경쟁력,품질,혁신
중국,국가,시장,한국산 식품,품목,기회,중소도시시장,신유통,온라인플랫폼
중국,국가,시장,한국산 식품,품목,위협,경쟁심화,가격경쟁력저하,시장경쟁력
중국,국가,시장,한국산 식품,품목,포장,디자인,용량,친환경포장
중국,국가,시장,한국산 식품,품목,기술,제조공법,건강성분,포장기술
