엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,시장규모,제과시장,품목,규모:110조원;시기:2024년
미국,국가,시장규모,설탕제과시장,품목,규모:24.5조원;시기:2024년
미국,국가,수입액,HS CODE 1704.90,품목,수입액:4.3조원;시기:2023년
미국,국가,수입액,대한국수입액,품목,수입액:77억 원;시기:2023년
미국,국가,수출입,HS CODE 1704.90,품목,수입액:4.3조원;시기:2023년
미국,국가,수출입,대한국수입액,품목,수입액:77억 원;시기:2023년
미국,국가,유통채널,하이퍼마켓/슈퍼마켓,유통채널,점유율:50.7%;시기:2024년
미국,국가,유통채널,온라인,유통채널,점유율:6.6%;시기:2024년
미국,국가,유통채널,편의점,유통채널,점유율:6.3%;시기:2024년
미국,국가,유통채널,할인점,유통채널,점유율:6.3%;시기:2024년
미국,국가,유통채널,유기농식품매장,유통채널,점유율:4.6%;시기:2024년
미국,국가,유통채널,드럭스토어,유통채널,점유율:4.3%;시기:2024년
미국,국가,유통채널,기타,유통채널,점유율:21.4%;시기:2024년
미국,국가,유통채널,파티용품점,유통채널,적합성,이유:접근성 높음;시기:2024년
고객사,기업,제품포장,미국시장,포장,적합성:OPP필름+PET;용량:20g;시기:2024년
고객사,기업,성분,미국시장,성분,적합성:설탕,인공색소,파라핀왁스;규제준수:예
고객사,기업,유통채널,파티용품점,유통채널,이유:생일 및 축제용;시기:2024년
고객사,기업,타겟소비자,어린이와 젊은 성인,소득수준,중산층 이상;시기:2024년
고객사,기업,홍보경로,인스타그램,광고채널,키워드:'Sensationally Sweet','Flavors to Savor';시기:2024년
고객사,기업,제품,미국시장,제품명,초와 성냥 포함;포장,OPP필름+PET;용량,20g;시기:2024년
고객사,기업,성분,미국시장,성분,설탕,향료,색소,파라핀왁스;적합:예
고객사,기업,유통채널,파티용품점,유통채널,이유:생일 및 축제용;시기:2024년
